Category	Frequency	Word	Decade
autistic	0.0	autistic	1800
autistic	0.0	autistic	1810
autistic	0.0	autistic	1820
autistic	0.0	autistic	1830
autistic	0.0	autistic	1840
autistic	0.0	autistic	1850
autistic	0.0	autistic	1860
autistic	0.0	autistic	1870
autistic	0.0	autistic	1880
autistic	0.0	autistic	1890
autistic	0.0	autistic	1900
autistic	0.0	autistic	1910
autistic	0.0	autistic	1920
autistic	0.0	autistic	1930
autistic	0.0	autistic	1940
autistic	0.0	autistic	1950
autistic	0.0	autistic	1960
autistic	0.0	autistic	1970
autistic	0.0	autistic	1980
autistic	4.3362738574795395e-09	autistic	1990
autistic	0.0	autism	1800
autistic	0.0	autism	1810
autistic	0.0	autism	1820
autistic	0.0	autism	1830
autistic	0.0	autism	1840
autistic	0.0	autism	1850
autistic	0.0	autism	1860
autistic	0.0	autism	1870
autistic	0.0	autism	1880
autistic	0.0	autism	1890
autistic	0.0	autism	1900
autistic	0.0	autism	1910
autistic	0.0	autism	1920
autistic	0.0	autism	1930
autistic	0.0	autism	1940
autistic	0.0	autism	1950
autistic	0.0	autism	1960
autistic	0.0	autism	1970
autistic	0.0	autism	1980
autistic	0.0	autism	1990
autistic	0.0	disability	1800
autistic	0.0	disability	1810
autistic	0.0	disability	1820
autistic	0.0	disability	1830
autistic	0.0	disability	1840
autistic	0.0	disability	1850
autistic	1.4083433329230828e-07	disability	1860
autistic	1.3655492216003221e-07	disability	1870
autistic	1.1456142201230788e-07	disability	1880
autistic	8.873187139612091e-08	disability	1890
autistic	1.2300556572646352e-07	disability	1900
autistic	7.300654601655112e-08	disability	1910
autistic	8.253910054564106e-08	disability	1920
autistic	5.528993381627146e-08	disability	1930
autistic	1.5536544278641276e-07	disability	1940
autistic	1.1564933225810294e-07	disability	1950
autistic	9.116873134423464e-08	disability	1960
autistic	8.797585590610513e-08	disability	1970
autistic	8.200809102948224e-08	disability	1980
autistic	1.0308505579371815e-07	disability	1990
autistic	7.914422119533305e-06	brain	1800
autistic	1.0442309782223503e-05	brain	1810
autistic	1.4364063589992169e-05	brain	1820
autistic	1.871980584804155e-05	brain	1830
autistic	1.6330036385314915e-05	brain	1840
autistic	1.813240643055413e-05	brain	1850
autistic	1.6350866095236993e-05	brain	1860
autistic	1.9049411641324495e-05	brain	1870
autistic	1.9242227418710142e-05	brain	1880
autistic	2.1520891577843787e-05	brain	1890
autistic	2.2476972256553627e-05	brain	1900
autistic	2.225993138543359e-05	brain	1910
autistic	2.409263660394999e-05	brain	1920
autistic	2.2558292997038754e-05	brain	1930
autistic	1.911194132737988e-05	brain	1940
autistic	1.886466879562338e-05	brain	1950
autistic	1.9093060055772375e-05	brain	1960
autistic	1.7867587647316245e-05	brain	1970
autistic	1.7151657871063085e-05	brain	1980
autistic	1.8318588910922316e-05	brain	1990
autistic	0.0	retardation	1800
autistic	0.0	retardation	1810
autistic	0.0	retardation	1820
autistic	0.0	retardation	1830
autistic	0.0	retardation	1840
autistic	0.0	retardation	1850
autistic	0.0	retardation	1860
autistic	1.427619640763973e-07	retardation	1870
autistic	0.0	retardation	1880
autistic	0.0	retardation	1890
autistic	0.0	retardation	1900
autistic	0.0	retardation	1910
autistic	0.0	retardation	1920
autistic	0.0	retardation	1930
autistic	4.581288697548069e-08	retardation	1940
autistic	0.0	retardation	1950
autistic	4.752412591348402e-08	retardation	1960
autistic	5.016167222716521e-08	retardation	1970
autistic	2.358172574667515e-08	retardation	1980
autistic	1.8921922287183448e-08	retardation	1990
autistic	7.999523432646565e-06	disorder	1800
autistic	1.1340064921871678e-05	disorder	1810
autistic	1.1177759680942027e-05	disorder	1820
autistic	1.031927281890318e-05	disorder	1830
autistic	8.00789441854527e-06	disorder	1840
autistic	7.183026412425219e-06	disorder	1850
autistic	6.28121126483695e-06	disorder	1860
autistic	5.2201222516630495e-06	disorder	1870
autistic	5.433484586869459e-06	disorder	1880
autistic	5.6356114217485e-06	disorder	1890
autistic	5.063423138411737e-06	disorder	1900
autistic	3.589096004168514e-06	disorder	1910
autistic	5.570511211293052e-06	disorder	1920
autistic	4.592877605634412e-06	disorder	1930
autistic	4.402020878948362e-06	disorder	1940
autistic	4.0804101359761106e-06	disorder	1950
autistic	4.199580922558894e-06	disorder	1960
autistic	2.7604354085626145e-06	disorder	1970
autistic	2.069560408812685e-06	disorder	1980
autistic	1.9781292924393028e-06	disorder	1990
autistic	0.0	syndrome	1800
autistic	0.0	syndrome	1810
autistic	0.0	syndrome	1820
autistic	0.0	syndrome	1830
autistic	0.0	syndrome	1840
autistic	0.0	syndrome	1850
autistic	0.0	syndrome	1860
autistic	0.0	syndrome	1870
autistic	0.0	syndrome	1880
autistic	0.0	syndrome	1890
autistic	0.0	syndrome	1900
autistic	0.0	syndrome	1910
autistic	0.0	syndrome	1920
autistic	0.0	syndrome	1930
autistic	0.0	syndrome	1940
autistic	0.0	syndrome	1950
autistic	0.0	syndrome	1960
autistic	2.9325285302035042e-08	syndrome	1970
autistic	1.756310619043418e-07	syndrome	1980
autistic	3.7666451552924546e-07	syndrome	1990
autistic	0.0	deficit	1800
autistic	0.0	deficit	1810
autistic	0.0	deficit	1820
autistic	0.0	deficit	1830
autistic	0.0	deficit	1840
autistic	0.0	deficit	1850
autistic	1.478760499569237e-07	deficit	1860
autistic	2.855239281527946e-07	deficit	1870
autistic	1.9229952980637394e-07	deficit	1880
autistic	1.5243680470615645e-07	deficit	1890
autistic	3.286268099259249e-07	deficit	1900
autistic	2.8496103445169956e-07	deficit	1910
autistic	1.6859050324216045e-07	deficit	1920
autistic	2.0400079028762227e-07	deficit	1930
autistic	1.713003599952756e-07	deficit	1940
autistic	1.6467459267186398e-07	deficit	1950
autistic	1.4451213798181874e-07	deficit	1960
autistic	8.951929197463329e-08	deficit	1970
autistic	7.98962946939591e-08	deficit	1980
autistic	7.351955221999402e-08	deficit	1990
autistic	0.0	abnormality	1800
autistic	0.0	abnormality	1810
autistic	0.0	abnormality	1820
autistic	0.0	abnormality	1830
autistic	0.0	abnormality	1840
autistic	0.0	abnormality	1850
autistic	0.0	abnormality	1860
autistic	0.0	abnormality	1870
autistic	0.0	abnormality	1880
